MACID,PARTNUM,REVISION,WORKNO,LINEID,OPERTOR,BARCODE,TRESULT,TESTDATE,TESTTIME,FL01,FL02,FL03,FL04,FL05,FL06,FL07,FL08,FL09,FL10,SDATE,STIME,ITSDATE,ITSTIME,FPATH
YM64L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,85044,X758FlexOpened,20170712,85005,763495,OT_H7,,,,,,20170712,85044,20170712,85006,FHAPCE7/20170712D/YM64L/OQC_FLEX_POR_AutoAlign_tester763495_4.0.0_D_0.csv
YM58L,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170712,83823,X758FlexOpened,20170712,83845,764244,OT_H7,,,,,,20170712,83823,20170712,83846,FHAPCE7/20170711N/YM58L/OQC_FLEX_POR_AutoAlign_tester764244_4.0.0_N_0.csv
YM67R,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170712,83205,X758FlexOpened,20170712,83247,763659,OT_H7,,,,,,20170712,83205,20170712,83251,FHAPCE7/20170712D/YM67R/OQC_FLEX_POR_AutoAlign_tester763659_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170712,84008,X758FlexOpened,20170712,84011,763499,OT_H7,,,,,,20170712,84008,20170712,84012,FHAPCE7/20170711N/tester/OQC_FLEX_POR_AutoAlign_tester763499_4.0.0_N_0.csv
YM69R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,85306,X758FlexOpened,20170712,85241,763827,OT_H7,,,,,,20170712,85306,20170712,85242,FHAPCE7/20170712D/YM69R/OQC_FLEX_POR_AutoAlign_tester763827_4.0.0_D_0.csv
tester,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170712,83746,X758FlexOpened,20170712,83814,763675,OT_H7,,,,,,20170712,83746,20170712,83815,FHAPCE7/20170711N/tester/OQC_FLEX_POR_AutoAlign_tester763675_4.0.0_N_0.csv
YM64R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,85008,X758FlexOpened,20170712,84931,763888,OT_H7,,,,,,20170712,85008,20170712,84932,FHAPCE7/20170711N/YM64R/OQC_FLEX_POR_AutoAlign_tester763888_4.0.0_N_0.csv
YM73L,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170712,83130,X758FlexOpened,20170712,83059,763767,OT_H7,,,,,,20170712,83130,20170712,83102,FHAPCE7/20170711N/YM73L/OQC_FLEX_POR_AutoAlign_tester763767_4.0.0_N_0.csv
YM73R,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170712,83057,X758FlexOpened,20170712,83028,763787,OT_H7,,,,,,20170712,83057,20170712,83031,FHAPCE7/20170711N/YM73R/OQC_FLEX_POR_AutoAlign_tester763787_4.0.0_N_0.csv
YM69L,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170712,85119,X758FlexOpened,20170712,85057,763964,OT_H7,,,,,,20170712,85119,20170712,85058,FHAPCE7/20170711N/YM69L/OQC_FLEX_POR_AutoAlign_tester763964_4.0.0_N_0.csv
tester,FHAPCE7,,test,Z24-109,F6671843,G5Y7272S84MJ25X9HZY1,FAIL,20170712,84111,X758FlexOpened,20170712,84112,763248,OT_H7,,,,,,20170712,84111,20170712,84113,FHAPCE7/20170711N/tester/OQC_FLEX_POR_AutoAlign_tester763248_4.0.0_N_0.csv
YM67L,FHAPCE7,,test,Z24-109,F6674715,G5Y7272S84MJ25X9HZY1,FAIL,20170712,83103,X758FlexOpened,20170712,83154,763941,OT_H7,,,,,,20170712,83103,20170712,83157,FHAPCE7/20170711N/YM67L/OQC_FLEX_POR_AutoAlign_tester763941_4.0.0_N_0.csv
YM05R,FHAPCE7,,test,Z24-109,F6662560,G5Y7272S84MJ25X9HZY1,FAIL,20170713,81411,X758FlexOpened,20170713,81551,762943,OT_H7,,,,,,20170713,81411,20170713,81553,FHAPCE7/20170713D/YM05R/OQC_FLEX_POR_AutoAlign_tester762943_4.0.0_D_0.csv
